,name
803,DKK/PHP
804,DKK/TWD
805,DKK/UAH
806,HKD/DKK
807,JPY/DKK
808,MXN/DKK
809,MYR/DKK
810,PLN/DKK
811,SEK/DKK
812,SGD/DKK
813,UAH/DKK
814,ZAR/DKK
815,DKK/EGP
816,DKK/EUR
817,DKK/GBP
818,DKK/IDR
819,DKK/ILS
820,DKK/JMD
821,DKK/JOD
822,DKK/KES
823,DKK/KRW
824,DKK/LBP
825,DKK/LKR
826,DKK/MAD
827,DKK/NAD
828,DKK/NPR
829,DKK/NZD
830,DKK/OMR
831,DKK/PAB
832,DKK/PKR
833,DKK/QAR
834,DKK/RON
835,DKK/RUB
836,DKK/SAR
837,DKK/TRY
838,DKK/USD
839,DKK/VES
840,DKK/XAF
841,DKK/XCD
842,ILS/DKK
843,INR/DKK
844,PHP/DKK
845,RUB/DKK
846,SAR/DKK
847,THB/DKK
848,TRY/DKK
849,TWD/DKK
850,VES/DKK
851,DKK/RUB
852,EUR/DOP
853,GBP/DOP
854,USD/DOP
855,EUR/DZD
856,GBP/DZD
857,USD/DZD
858,EGP/PKR
859,EUR/EGP
860,GBP/EGP
861,USD/EGP
862,HKD/EGP
863,ILS/EGP
864,INR/EGP
865,MXN/EGP
866,NOK/EGP
867,NZD/EGP
868,PHP/EGP
869,PLN/EGP
870,RUB/EGP
871,SAR/EGP
872,SEK/EGP
873,SGD/EGP
874,THB/EGP
875,TRY/EGP
876,TWD/EGP
877,VES/EGP
878,ZAR/EGP
879,EGP/EUR
880,EGP/GBP
881,EGP/JPY
882,EGP/SAR
883,EGP/USD
884,JPY/EGP
885,EUR/ETB
886,GBP/ETB
887,USD/ETB
888,EUR/USD
889,EUR/GBP
890,EUR/JPY
891,EUR/NOK
892,EUR/PLN
893,EUR/NZD
894,EUR/SEK
895,EUR/ILS
896,EUR/TRY
897,EUR/THB
898,EUR/ZAR
899,EUR/MXN
900,EUR/SGD
901,EUR/HUF
902,EUR/HKD
903,EUR/KRW
904,EUR/FJD
905,EUR/GHS
906,EUR/GMD
907,EUR/GNF
908,EUR/GTQ
909,EUR/HNL
910,EUR/HRK
911,EUR/HTG
912,EUR/IDR
913,EUR/INR
914,EUR/IQD
915,EUR/IRR
916,EUR/ISK
917,EUR/JMD
918,EUR/JOD
919,EUR/KES
920,EUR/KHR
921,EUR/KWD
922,EUR/KYD
923,EUR/KZT
924,EUR/LAK
925,EUR/LBP
926,EUR/LKR
927,EUR/LSL
928,EUR/LYD
929,EUR/MAD
930,EUR/MDL
931,EUR/MGA
932,EUR/MKD
933,EUR/MMK
934,EUR/MOP
935,EUR/MRU
936,EUR/MUR
937,EUR/MWK
938,EUR/MYR
939,EUR/NAD
940,EUR/NGN
941,EUR/NIO
942,EUR/NPR
943,EUR/OMR
944,EUR/PAB
945,EUR/PEN
946,EUR/PGK
947,EUR/PHP
948,EUR/PKR
949,EUR/PYG
950,EUR/QAR
951,EUR/RON
952,EUR/RSD
953,EUR/RUB
954,EUR/RWF
955,EUR/SAR
956,EUR/SCR
957,EUR/SDG
958,EUR/SDR
959,EUR/SOS
960,EUR/STN
961,EUR/SVC
962,EUR/SYP
963,EUR/SZL
964,EUR/TND
965,EUR/TTD
966,EUR/TWD
967,EUR/TZS
968,EUR/UAH
969,EUR/UGX
970,EUR/UYU
971,EUR/UZS
972,EUR/VES
973,EUR/VND
974,EUR/XAF
975,EUR/XOF
976,EUR/XPF
977,EUR/ZMW
978,GBP/EUR
979,GHS/EUR
980,JPY/EUR
981,NZD/EUR
982,SGD/EUR
983,USD/EUR
984,EUR/XCD
985,HKD/EUR
986,ILS/EUR
987,MXN/EUR
988,NOK/EUR
989,PLN/EUR
990,RUB/EUR
991,SAR/EUR
992,SEK/EUR
993,TRY/EUR
994,TWD/EUR
995,VES/EUR
996,ZAR/EUR
997,MAD/EUR
998,KRW/EUR
999,EUR/MZN
1000,INR/EUR
1001,JOD/EUR
1002,KWD/EUR
1003,EUR/TJS
1004,EUR/RUB
1005,HUF/EUR
1006,GEL/EUR
1007,EUR/GEL
1008,IDR/EUR
1009,EUR/RUB
1010,FJD/USD
1011,GBP/FJD
1012,USD/FJD
1013,GBP/USD
1014,GBP/JPY
1015,GBP/NZD
1016,GBP/SGD
1017,GBP/ILS
1018,GBP/PLN
1019,GBP/NOK
1020,GBP/THB
1021,GBP/ZAR
1022,GBP/TRY
1023,GBP/SEK
1024,GBP/HKD
1025,GBP/HUF
1026,GBP/GMD
1027,GBP/GTQ
1028,GBP/HNL
1029,GBP/HRK
1030,GBP/HTG
1031,GBP/IDR
1032,GBP/INR
1033,GBP/IQD
1034,GBP/IRR
1035,GBP/ISK
1036,GBP/JMD
1037,GBP/JOD
1038,GBP/KES
1039,GBP/KRW
1040,GBP/KWD
1041,GBP/KZT
1042,GBP/LBP
1043,GBP/LKR
1044,GBP/MAD
1045,GBP/MUR
1046,GBP/MWK
1047,GBP/MXN
1048,GBP/MYR
1049,GBP/NGN
1050,GBP/NIO
1051,GBP/OMR
1052,GBP/PEN
1053,GBP/PGK
1054,GBP/PHP
1055,GBP/PKR
1056,GBP/QAR
1057,GBP/RON
1058,GBP/RUB
1059,GBP/SAR
1060,GBP/SCR
1061,GBP/SZL
1062,GBP/TND
1063,GBP/TTD
1064,GBP/TWD
1065,GBP/TZS
1066,GBP/UAH
1067,GBP/UGX
1068,GBP/VND
1069,GBP/XAF
1070,GBP/XPF
1071,GBP/ZMW
1072,JPY/GBP
1073,KWD/GBP
1074,NZD/GBP
1075,OMR/GBP
1076,SGD/GBP
1077,TND/GBP
1078,USD/GBP
1079,GBP/NAD
1080,GBP/PAB
1081,GBP/XCD
1082,GBP/XOF
1083,HKD/GBP
1084,ILS/GBP
1085,MXN/GBP
1086,NOK/GBP
1087,PLN/GBP
1088,RUB/GBP
1089,SAR/GBP
1090,SEK/GBP
1091,TRY/GBP
1092,TWD/GBP
1093,VES/GBP
1094,ZAR/GBP
1095,KRW/GBP
1096,INR/GBP
1097,JOD/GBP
1098,GBP/NPR
1099,IDR/GBP
1100,GBP/RUB
1101,USD/GEL
1102,GEL/RUB
1103,GHS/USD
1104,USD/GHS
1105,USD/GMD
1106,USD/GNF
1107,USD/GTQ
1108,SGD/HKD
1109,HKD/JPY
1110,NZD/HKD
1111,USD/HKD
1112,HKD/IDR
1113,HKD/INR
1114,HKD/KRW
1115,HKD/MXN
1116,HKD/MYR
1117,HKD/PKR
1118,HKD/PLN
1119,HKD/THB
1120,HKD/TWD
1121,HKD/ZAR
1122,JPY/HKD
1123,KRW/HKD
1124,MXN/HKD
1125,MYR/HKD
1126,ZAR/HKD
1127,HKD/HUF
1128,HKD/ILS
1129,HKD/ISK
1130,HKD/JMD
1131,HKD/JOD
1132,HKD/KES
1133,HKD/LBP
1134,HKD/LKR
1135,HKD/MAD
1136,HKD/NAD
1137,HKD/NOK
1138,HKD/NPR
1139,HKD/NZD
1140,HKD/OMR
1141,HKD/PAB
1142,HKD/PHP
1143,HKD/QAR
1144,HKD/RON
1145,HKD/RUB
1146,HKD/SAR
1147,HKD/SEK
1148,HKD/SGD
1149,HKD/TRY
1150,HKD/USD
1151,HKD/VES
1152,HKD/XAF
1153,HKD/XCD
1154,HKD/XOF
1155,ILS/HKD
1156,INR/HKD
