,name
377,Tributary Growth Opportunities Fund Class Institutional Plus
378,Morgan Stanley Institutional Fund Trust Discovery Portfolio Class Is
379,Hsbc Opportunity Fund Class I
380,Valic Company I Small-mid Growth Fund
381,Columbia Acorn Select Fund Institutional Class
382,Buffalo Mid Cap Fund
383,Bny Mellon Mid Cap Multi-strategy Fund Class Investor
384,Kinetics Paradigm Fund Advisor Class A
385,Invesco Mid Cap Growth Fund Class R5
386,Ab Discovery Growth Fund Class I
387,Wanger Select
388,Kinetics Paradigm Fund Advisor Class C
389,Virtus Kar Small-cap Core Fund Class C
390,T. Rowe Price Mid-cap Growth Fund R Class
391,Tarkio Fund
392,Victory Rs Select Growth Fund Class A
393,Mml Series Investment Fund Mid Cap Growth Fund Service Class
394,Vy Baron Growth Portfolio Class A
395,Pf Mid-cap Equity Fund Class P
396,Mml Series Investment Fund Income & Growth Fund Service Class
397,Profund Vp Ultramid-cap
398,Pimco Eqs Long/short Fund Class I2
399,Pimco Eqs Long/short Fund Class A
400,Convergence Long/short Equity Fund
401,Neuberger Berman Long Short Fund Class A
402,Neuberger Berman Long Short Fund Class C
403,Snow Capital Long/short Opportunity Fund Class A
404,Nuveen Equity Long/short Fund Class A
405,Boston Partners Long/short Research Fund Investor Class
406,Meeder Spectrum Fund Retail Class
407,Snow Capital Long/short Opportunity Fund Class Institutional
408,Pimco Eqs Long/short Fund Class C
409,Invesco Long/short Equity Fund Class R6
410,Marketfield Fund Class C
411,Aqr Long-short Equity Fund Class N
412,Marketfield Fund Class A
413,Salient Tactical Plus Fund Class F
414,Ac Alternatives Disciplined Long Short Fund Investor Class
415,Mml Series Investment Fund Managed Volatility Fund Service Class
416,361 Global Long/short Equity Fund Investor Class
417,Boston Partners Long/short Equity Fund Investor Class
418,Rmb Mendon Financial Long/short Fund Class A
419,Guggenheim Alpha Opportunity Fund Institutional Class
420,Caldwell & Orkin - Gator Capital Long/short Fund
421,Diamond Hill Long Short Fund Class C
422,Ab Select Us Long/short Portfolio Class C
423,Crm Long/short Opportunities Fund Institutional Shares
424,Blackrock Alpha Advantage 500
425,361 Global Long/short Equity Fund Class I
426,Diamond Hill Long-short Fund Class Y
427,Nuveen Equity Long/short Fund Class I
428,Glenmede Quantitative U.s. Long/short Equity Portfolio
429,Pgim Qma Long-short Equity Fund-class Z
430,Boston Partners Long/short Equity Fund Institutional Class
431,Wilmington Global Alpha Equities Fund Class I
432,Diamond Hill Long Short Fund Class A
433,Schwab Hedged Equity Fund™
434,Azl Gateway Fund
435,Jpmorgan Opportunistic Equity Long/short Fund Class I
436,Mml Series Investment Fund Managed Volatility Fund Initial Class
437,Toews Tactical Defensive Alpha Fund
438,Hancock Horizon Quantitative Long/short Fund Institutional Class
439,Marketfield Fund Class I
440,Pimco Eqs Long/short Fund Institutional Class
441,Ab Select Us Long/short Portfolio Class A
442,Highland Long/short Equity Fund Class Z
443,Aqr Long-short Equity Fund Class R6
444,Riverpark Long/short Opportunity Fund Institutional Class
445,John Hancock Seaport Long/short Fund Class I
446,Nuveen Equity Long/short Fund Class C
447,Ac Alternatives Disciplined Long Short Fund I Class
448,Fidelity Mid Cap Index Fund
449,State Street S&p Midcap Index Securities Lending Series Fund Class Ii
